precision,recall
0.248898,1.000000
0.261991,1.000000
0.276898,0.998031
0.288232,0.998031
0.301248,0.998031
0.310472,0.998031
0.319646,0.996063
0.327933,0.996063
0.334656,0.996063
0.341695,0.992126
0.345942,0.990157
0.350350,0.986220
0.355319,0.986220
0.358993,0.982283
0.365173,0.978346
0.368499,0.976378
0.371795,0.970472
0.376049,0.970472
0.379045,0.968504
0.383294,0.966535
0.385220,0.964567
0.388712,0.962598
0.392915,0.960630
0.394458,0.952756
0.396552,0.950787
0.401168,0.946850
0.403523,0.946850
0.408355,0.942913
0.414931,0.940945
0.419525,0.938976
0.423623,0.938976
0.427803,0.938976
0.431426,0.935039
0.434186,0.935039
0.439703,0.933071
0.444967,0.931102
0.446344,0.925197
0.450867,0.921260
0.454012,0.913386
0.457143,0.913386
0.460539,0.907480
0.467546,0.907480
0.473738,0.905512
0.479495,0.897638
0.486141,0.897638
0.491304,0.889764
0.500000,0.887795
0.509050,0.885827
0.517321,0.881890
0.529063,0.877953
0.537060,0.870079
0.543990,0.864173
0.552163,0.854331
0.557717,0.846457
0.568758,0.838583
0.577135,0.824803
0.581330,0.809055
0.585756,0.793307
0.589630,0.783465
0.599085,0.773622
0.600000,0.755906
0.608065,0.742126
0.617201,0.720472
0.622184,0.706693
0.629696,0.692913
0.636697,0.683071
0.639098,0.669291
0.645349,0.655512
0.652000,0.641732
0.655532,0.618110
0.668845,0.604331
0.677725,0.562992
0.690176,0.539370
0.702632,0.525591
0.704918,0.507874
0.711816,0.486220
0.731250,0.460630
0.739274,0.440945
0.747405,0.425197
0.746324,0.399606
0.750973,0.379921
0.758197,0.364173
0.766234,0.348425
0.763636,0.330709
0.760766,0.312992
0.774359,0.297244
0.773481,0.275591
0.778443,0.255906
0.787671,0.226378
0.793893,0.204724
0.787402,0.196850
0.772277,0.153543
0.797619,0.131890
0.794118,0.106299
0.800000,0.094488
0.808511,0.074803
0.820513,0.062992
0.882353,0.059055
0.896552,0.051181
0.909091,0.039370
1.000000,0.000000
