threshold,fpr,tpr
0.0000,1.000000,1.000000
0.0100,0.823222,1.000000
0.0200,0.761905,1.000000
0.0300,0.720157,1.000000
0.0400,0.690802,0.998031
0.0500,0.658187,0.996063
0.0600,0.630789,0.996063
0.0700,0.606654,0.996063
0.0800,0.577952,0.992126
0.0900,0.553816,0.988189
0.1000,0.537508,0.988189
0.1100,0.515982,0.988189
0.1200,0.506197,0.984252
0.1300,0.489237,0.984252
0.1400,0.475538,0.982283
0.1500,0.460535,0.978346
0.1600,0.446836,0.976378
0.1700,0.435095,0.974409
0.1800,0.424658,0.972441
0.1900,0.410959,0.970472
0.2000,0.397260,0.970472
0.2100,0.388780,0.970472
0.2200,0.377691,0.966535
0.2300,0.369211,0.958661
0.2400,0.358774,0.958661
0.2500,0.348989,0.956693
0.2600,0.339856,0.946850
0.2700,0.333986,0.946850
0.2800,0.326158,0.946850
0.2900,0.315721,0.940945
0.3000,0.302674,0.937008
0.3100,0.296804,0.929134
0.3200,0.287671,0.927165
0.3300,0.278539,0.927165
0.3400,0.270059,0.925197
0.3500,0.260926,0.913386
0.3600,0.252446,0.907480
0.3700,0.247880,0.903543
0.3800,0.238748,0.899606
0.3900,0.235486,0.893701
0.4000,0.228963,0.887795
0.4100,0.223092,0.877953
0.4200,0.222440,0.862205
0.4300,0.219830,0.858268
0.4400,0.214612,0.856299
0.4500,0.208741,0.850394
0.4600,0.207436,0.844488
0.4700,0.204175,0.836614
0.4800,0.198956,0.828740
0.4900,0.193085,0.822835
0.5000,0.187215,0.820866
0.5100,0.180691,0.811024
0.5200,0.172211,0.809055
0.5300,0.167645,0.803150
0.5400,0.161774,0.795276
0.5500,0.157860,0.787402
0.5600,0.153947,0.773622
0.5700,0.150685,0.763780
0.5800,0.144162,0.759843
0.5900,0.137639,0.746063
0.6000,0.130463,0.732283
0.6100,0.126549,0.708661
0.6200,0.120678,0.696850
0.6300,0.116112,0.688976
0.6400,0.111546,0.679134
0.6500,0.105023,0.671260
0.6600,0.099152,0.655512
0.6700,0.095238,0.641732
0.6800,0.091324,0.637795
0.6900,0.088715,0.633858
0.7000,0.084801,0.624016
0.7100,0.083496,0.614173
0.7200,0.077626,0.590551
0.7300,0.071755,0.580709
0.7400,0.063275,0.562992
0.7500,0.060665,0.551181
0.7600,0.058708,0.539370
0.7700,0.055447,0.525591
0.7800,0.052838,0.507874
0.7900,0.051533,0.498031
0.8000,0.046314,0.482283
0.8100,0.041096,0.472441
0.8200,0.037834,0.466535
0.8300,0.033920,0.440945
0.8400,0.031311,0.413386
0.8500,0.028702,0.393701
0.8600,0.026745,0.374016
0.8700,0.022179,0.354331
0.8800,0.020222,0.342520
0.8900,0.017613,0.314961
0.9000,0.016308,0.287402
0.9100,0.013699,0.265748
0.9200,0.012394,0.240157
0.9300,0.009785,0.210630
0.9400,0.006523,0.192913
0.9500,0.004566,0.165354
0.9600,0.003914,0.149606
0.9700,0.001957,0.108268
0.9800,0.001957,0.074803
0.9900,0.001957,0.045276
1.0000,0.000000,0.000000
