precision,recall
0.248898,1.000000
0.290951,1.000000
0.309191,1.000000
0.318668,0.998031
0.329221,0.998031
0.336877,0.998031
0.345890,0.994094
0.353684,0.992126
0.360000,0.992126
0.367153,0.990157
0.374907,0.988189
0.383499,0.988189
0.389449,0.988189
0.396838,0.988189
0.404032,0.986220
0.405868,0.980315
0.409728,0.978346
0.413134,0.978346
0.417296,0.978346
0.421902,0.978346
0.422089,0.970472
0.428945,0.968504
0.432218,0.966535
0.437891,0.964567
0.442325,0.958661
0.447514,0.956693
0.451914,0.952756
0.457386,0.950787
0.464734,0.946850
0.472906,0.944882
0.477137,0.944882
0.483283,0.938976
0.488660,0.933071
0.493724,0.929134
0.496304,0.925197
0.499464,0.917323
0.503247,0.915354
0.510989,0.915354
0.519641,0.911417
0.522727,0.905512
0.527714,0.899606
0.534584,0.897638
0.537455,0.889764
0.544135,0.885827
0.550493,0.879921
0.557233,0.872047
0.561538,0.862205
0.569010,0.860236
0.574271,0.852362
0.576975,0.848425
0.583902,0.842520
0.590595,0.840551
0.592437,0.832677
0.599132,0.814961
0.604136,0.805118
0.607463,0.801181
0.609940,0.797244
0.613050,0.795276
0.613251,0.783465
0.617555,0.775591
0.618442,0.765748
0.624595,0.759843
0.628713,0.750000
0.633166,0.744094
0.639794,0.734252
0.646341,0.730315
0.654189,0.722441
0.659420,0.716535
0.662942,0.700787
0.669884,0.683071
0.677419,0.661417
0.689362,0.637795
0.704955,0.616142
0.710214,0.588583
0.717073,0.578740
0.725191,0.561024
0.732804,0.545276
0.745152,0.529528
0.758721,0.513780
0.775385,0.496063
0.784566,0.480315
0.787162,0.458661
0.792254,0.442913
0.794118,0.425197
0.803846,0.411417
0.805907,0.375984
0.824074,0.350394
0.821782,0.326772
0.821990,0.309055
0.848485,0.275591
0.863014,0.248031
0.865672,0.228346
0.872000,0.214567
0.897196,0.188976
0.894737,0.167323
0.894118,0.149606
0.945205,0.135827
0.923077,0.094488
0.925000,0.072835
0.916667,0.043307
1.000000,0.000000
