fpr,tpr
1.000000,1.000000
0.807567,1.000000
0.740378,1.000000
0.707110,0.998031
0.673842,0.998031
0.651011,0.998031
0.622962,0.994094
0.600783,0.992126
0.584475,0.992126
0.565558,0.990157
0.545988,0.988189
0.526419,0.988189
0.513372,0.988189
0.497717,0.988189
0.482061,0.986220
0.475538,0.980315
0.467058,0.978346
0.460535,0.978346
0.452707,0.978346
0.444227,0.978346
0.440313,0.970472
0.427267,0.968504
0.420744,0.966535
0.410307,0.964567
0.400522,0.958661
0.391389,0.956693
0.382909,0.952756
0.373777,0.950787
0.361383,0.946850
0.348989,0.944882
0.343118,0.944882
0.332681,0.938976
0.323549,0.933071
0.315721,0.929134
0.311155,0.925197
0.304631,0.917323
0.299413,0.915354
0.290280,0.915354
0.279191,0.911417
0.273973,0.905512
0.266797,0.899606
0.258969,0.897638
0.253751,0.889764
0.245923,0.885827
0.238095,0.879921
0.229615,0.872047
0.223092,0.862205
0.215917,0.860236
0.209393,0.852362
0.206132,0.848425
0.198956,0.842520
0.193085,0.840551
0.189824,0.832677
0.180691,0.814961
0.174821,0.805118
0.171559,0.801181
0.168950,0.797244
0.166341,0.795276
0.163731,0.783465
0.159165,0.775591
0.156556,0.765748
0.151337,0.759843
0.146771,0.750000
0.142857,0.744094
0.136986,0.734252
0.132420,0.730315
0.126549,0.722441
0.122635,0.716535
0.118069,0.700787
0.111546,0.683071
0.104371,0.661417
0.095238,0.637795
0.085453,0.616142
0.079583,0.588583
0.075669,0.578740
0.070450,0.561024
0.065884,0.545276
0.060013,0.529528
0.054142,0.513780
0.047619,0.496063
0.043705,0.480315
0.041096,0.458661
0.038487,0.442913
0.036530,0.425197
0.033268,0.411417
0.030007,0.375984
0.024788,0.350394
0.023483,0.326772
0.022179,0.309055
0.016308,0.275591
0.013046,0.248031
0.011742,0.228346
0.010437,0.214567
0.007175,0.188976
0.006523,0.167323
0.005871,0.149606
0.002609,0.135827
0.002609,0.094488
0.001957,0.072835
0.001305,0.043307
0.000000,0.000000
